"","PlotID","Variety","Yield"
"1","1","Standard",1.38146296117019
"2","2","Standard",2.52897581002003
"3","3","Standard",0.555021370917831
"4","4","Standard",2.07563996372761
"5","5","Standard",1.45706496618548
"6","6","Standard",2.60057369756217
"7","7","Standard",0.215403996537306
"8","8","Standard",3.55514266048063
"9","9","Standard",3.40445888112454
"10","10","Standard",3.12940177629219
"11","11","Standard",1.79008554817457
"12","12","Standard",3.10276219177581
"13","13","Standard",2.08444742654994
"14","14","Standard",0.603490471667357
"15","15","Standard",2.4917684206969
"16","16","Standard",2.24788196677001
"17","17","Standard",1.17461132530886
"18","18","Standard",2.50318805759514
"19","19","Standard",0.956696238238236
"20","20","Standard",1.17602581343613
"21","21","Standard",3.79265974551836
"22","22","Standard",1.71874104424122
"23","23","Standard",2.34770133785178
"24","24","Standard",1.7170900011453
"25","25","Standard",2.46387240510031
"26","26","Standard",3.6618323864888
"27","27","Standard",3.13167334025314
"28","28","Standard",1.86963821388051
"29","29","Standard",0.680952599879629
"30","30","Standard",2.80891245756743
"31","31","Standard",1.9621858927324
"32","32","Standard",2.61879254223727
"33","33","Standard",2.69799191341331
"34","34","Standard",1.39343990500475
"35","35","Standard",0.323207587802189
"36","36","Standard",2.75889291666276
"37","37","Standard",2.7938699991343
"38","38","Standard",3.25769895437068
"39","39","Standard",2.72507092141314
"40","40","Standard",1.46595644682536
"41","41","Standard",3.42052839667796
"42","42","Standard",2.75288182037422
"43","43","Standard",2.36658064761233
"44","44","Standard",0.883788668525469
"45","45","Standard",3.25660886290528
"46","46","Standard",1.69037318702745
"47","47","Standard",1.35532623184762
"48","48","Standard",3.50071616270538
"49","49","Standard",1.68263401648858
"50","50","Standard",3.97098476158056
"51","51","New",2.97209131323856
"52","52","New",2.95460636465787
"53","53","New",4.01364449345408
"54","54","New",4.06235856339243
"55","55","New",2.64700958137117
"56","56","New",3.2847045748186
"57","57","New",3.33198664990538
"58","58","New",4.13670810463729
"59","59","New",1.84799638486578
"60","60","New",2.41597771944364
"61","61","New",3.29104219103286
"62","62","New",2.26036441338377
"63","63","New",3.47444795572599
"64","64","New",4.5084503369725
"65","65","New",3.24693541033596
"66","66","New",2.93671223381605
"67","67","New",4.53509261984903
"68","68","New",3.44235618039881
"69","69","New",3.20945179565307
"70","70","New",4.35482126491855
"71","71","New",1.51757371093058
"72","72","New",2.88885797831368
"73","73","New",4.10029407536393
"74","74","New",4.01895107053352
"75","75","New",3.35378019279019
"76","76","New",3.93286269116234
"77","77","New",3.03597274244553
"78","78","New",2.68214651019088
"79","79","New",3.7684581470208
"80","80","New",3.00926541662704
"81","81","New",1.87597499588164
"82","82","New",2.27040385346581
"83","83","New",1.8444606098967
"84","84","New",3.08984396583777
"85","85","New",3.11332651403415
"86","86","New",3.91109765924251
"87","87","New",1.24438659364803
"88","88","New",2.94588301453873
"89","89","New",4.16582251877854
"90","90","New",3.08260744199672
"91","91","New",1.58447347131133
"92","92","New",3.71704037988124
"93","93","New",1.39832692979316
"94","94","New",1.14612539687705
"95","95","New",2.15665624456219
"96","96","New",3.79622999080027
"97","97","New",3.37654475186146
"98","98","New",2.77025208226024
"99","99","New",5.02942118921283
"100","100","New",4.22235234440309
"101","101","NewPLUS",1.33416372170242
"102","102","NewPLUS",1.95905618466235
"103","103","NewPLUS",1.42434678306416
"104","104","NewPLUS",3.72170692126182
"105","105","NewPLUS",2.54360015464356
"106","106","NewPLUS",3.12241134055834
"107","107","NewPLUS",3.51650541156451
"108","108","NewPLUS",4.06813355217631
"109","109","NewPLUS",4.60476206861255
"110","110","NewPLUS",4.34637947656573
"111","111","NewPLUS",1.88434834783519
"112","112","NewPLUS",3.14616700264033
"113","113","NewPLUS",4.6310479467429
"114","114","NewPLUS",2.3107341148692
"115","115","NewPLUS",2.38967626365846
"116","116","NewPLUS",2.77536805818478
"117","117","NewPLUS",0.958011323832053
"118","118","NewPLUS",4.70976565771418
"119","119","NewPLUS",3.41167054754046
"120","120","NewPLUS",5.77994840995624
"121","121","NewPLUS",3.06036623390119
"122","122","NewPLUS",3.83107910379938
"123","123","NewPLUS",4.38456057884272
"124","124","NewPLUS",3.73095375832387
"125","125","NewPLUS",2.7422737943522
"126","126","NewPLUS",2.28707290159445
"127","127","NewPLUS",3.66227693411086
"128","128","NewPLUS",2.19903663952613
"129","129","NewPLUS",1.77594373298026
"130","130","NewPLUS",3.22508883270207
"131","131","NewPLUS",2.6878158535394
"132","132","NewPLUS",4.62296680855958
"133","133","NewPLUS",2.84356786820114
"134","134","NewPLUS",2.94200376284513
"135","135","NewPLUS",4.09331986223823
"136","136","NewPLUS",1.20542327641551
"137","137","NewPLUS",2.92643701413751
"138","138","NewPLUS",1.86629850224409
"139","139","NewPLUS",2.32955112275166
"140","140","NewPLUS",2.72897132140711
"141","141","NewPLUS",4.23710810885883
"142","142","NewPLUS",3.1157237518861
"143","143","NewPLUS",4.02909906146699
"144","144","NewPLUS",2.84872806782874
"145","145","NewPLUS",3.76968345925974
"146","146","NewPLUS",4.99550450156237
"147","147","NewPLUS",3.18607567775561
"148","148","NewPLUS",3.40936578750354
"149","149","NewPLUS",4.86342295616929
"150","150","NewPLUS",3.01615458989856
